Num,Type of Burrito,Restaurant,Address,Near by,Cost ($),Overall Rating (out of 5),Provide Free Chips ?,Recipe,URL,Notes
42,Custom,"Qdoba Mexican Grill, Seatac Airport",Airport,Seattle,9.5,3,No,Pico; Guac; Cheese; Pork; Rice; Beans; Lettuce,,
43,California,Cancun Mexican & Seafood,1766 N Coast Hwy,Encinitas,6.99,4.2,Yes,Beef; Cheese; Fries; Sour cream,http://cancunmexicanandseafood.com/,A bit small
44,Machaca,Cancun Mexican & Seafood,1766 N Coast Hwy,Encinitas,5.99,3.9,Yes,Beef; Bell; peper; Onion; Egg,http://cancunmexicanandseafood.com/,So hot! Egg is surprisingly good
45,Quesaburro,Vallarta express,4277 Genesee Ave,Clairemont,6.95,4.1,No,Beef; Pico; Guac; Cheese,http://www.vallartaexpress.com/menu/,
46,Philly ,Vallarta express,4277 Genesee Ave,Clairemont,6.95,3,No,Beef; Cheese; Bell; peper; Salsa; Mushroom; Becon,http://www.vallartaexpress.com/menu/,Guac chips have lots of cheese
47,Carne asada,Vallarta express,4277 Genesee Ave,Clairemont,6.5,3.25,No,Beef; Pico; Guac,http://www.vallartaexpress.com/menu/,
48,Quesa,Vallarta express,4277 Genesee Ave,Clairemont,6.95,3.75,No,Beef; Pico; Guac; Cheese; Chicken,http://www.vallartaexpress.com/menu/,Heart-stopping amount of cheese. Second tortilla of cheese
49,Surf & Turf,Vallarta express,4277 Genesee Ave,Clairemont,7.65,3.5,No,Beef; Guac; Sour cream; Shrimp; Rice; Beans,http://www.vallartaexpress.com/menu/,Hot carrots
50,Mahi,Vallarta express,4277 Genesee Ave,Clairemont,7.3,3.5,No,,http://www.vallartaexpress.com/menu/,
51,California,Mikes Taco Club,5060 Newport Ave,Ocean Beach,8.59,4.3,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,http://www.mikestacoclub.com/menu/,
52,California,Mikes Taco Club,5060 Newport Ave,Ocean Beach,8.59,4.5,No,Beef; Pico; Guac; Cheese; Fries; Sour cream,http://www.mikestacoclub.com/menu/,
53,Addiction,La Perla Cocina,745 Emerald St,Pacific Beach,7.99,2.5,No,Beef; Pico; Guac; Beans; Mushroom,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,Bland
54,Oaxacalifornia,La Perla Cocina,745 Emerald St,Pacific Beach,9.99,4,No,Beef; Pico; Guac; Cheese; Fries,https://www.yelp.com/biz/la-perla-cocina-mexicana-san-diego,Fries are good
55,Deborah's special,Porkyland ,4645 Carmel Mountain Rd,Carmel Valley,8.25,4,Yes,Beef; Nopales,http://goporkyland.com/,
56,Chicken nopalito,Porkyland ,4645 Carmel Mountain Rd,Carmel Valley,7.95,3.3,Yes,Guac; Chicken; Sauce; Nopales,http://goporkyland.com/,
57,Chicken nopalito,Porkyland ,4645 Carmel Mountain Rd,Carmel Valley,7.95,4,Yes,Guac; Chicken; Sauce; Nopales,http://goporkyland.com/,
58,California,Porkyland ,4645 Carmel Mountain Rd,Carmel Valley,8.75,4,Yes,Beef; Guac; Cheese; Fries; Sour cream,http://goporkyland.com/,
59,California,Rigoberto's Taco Shop,4645 Carmel Mountain Rd,Carmel Valley,6.6,4.5,No,Beef; Cheese; Fries; Sauce,,
60,Adobada,Rigoberto's Taco Shop,4645 Carmel Mountain Rd,Carmel Valley,6.6,4.5,No,Guac; Pork,,
61,California,Rigoberto's Taco Shop,4645 Carmel Mountain Rd,Carmel Valley,6.6,3.6,No,Beef; Cheese; Fries; Sauce,,Too much enchilada sauce this time
62,Surf & Turf,Rigoberto's Taco Shop,4645 Carmel Mountain Rd,Carmel Valley,7.45,3,No,Beef; Cheese; Shrimp; Rice,,Would have enjoyed it more if wasn't rating; shrimp better than meat. Quality of the shrimp really improves the burrito. Well cooked and fresh. Shrimp could have had more flavor
63,Chicken,Rudy's Taco Shop,524 Stevens Ave,Solana Beach,6.6,2.8,No,Beef; Guac; Chicken,http://www.rudystacoshop.com/,"Salsa Fresca is good, way too small"
64,Carnitas,Rudy's Taco Shop,524 Stevens Ave,Solana Beach,6.6,3,No,Beef; Guac; Pork,http://www.rudystacoshop.com/,
65,Carne asada,Taco stand,524 Stevens Ave,Solana Beach,7.89,4.4,No,Beef; Guac,,Too small 
66,Carne asada,Taco stand,524 Stevens Ave,Solana Beach,7.89,3.5,No,Beef; Pico; Guac,,A little small. No rice and beans or cheese or sour cream
